date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/08/04,"Monday, August 4, 2025",Week of 18th Sunday in Ordinary Time,,,,Psalm 1; Ezekiel 14:12–end; 2 Corinthians 11:1–15,Psalm 4; 1 Samuel 10:1–16; Luke 22:24–30
2025/08/05,"Tuesday, August 5, 2025",Week of 18th Sunday in Ordinary Time,Eve of the Transfiguration,,,Psalm 5; Ezekiel 18:1–20; 2 Corinthians 11:16–end,"Psalm 99,110; Exodus 24:12-18; John 12:27-36a"
2025/08/06,"Wednesday, August 6, 2025",The Transfiguration of the Beloved Son,,,,"Psalm 27,150; 1 Kings 19:1-16; 1 John 3:1-3",Psalm 72; Exodus 34:29-35; 2 Corinthians 3
2025/08/07,"Thursday, August 7, 2025",Week of 18th Sunday in Ordinary Time,,,,Psalm 15; Ezekiel 20:1–20; 2 Corinthians 13,Psalm 18*; 1 Samuel 12; Luke 22:47–62
2025/08/08,"Friday, August 8, 2025",Week of 18th Sunday in Ordinary Time,,,,Psalm 19; Ezekiel 20:21–38; James 1:1–11,Psalm 22; 1 Samuel 13:5–18; Luke 22:63–end
2025/08/09,"Saturday, August 9, 2025",Week of 18th Sunday in Ordinary Time,,,,Psalm 23; Ezekiel 24:15–end; James 1:12–end,Psalm 24; 1 Samuel 13:19–14:15; Luke 23:1–12
2025/08/10,"Sunday, August 10, 2025",19th Sunday in Ordinary Time,,"Psalm 33:12-22*; Genesis 15:1-6; Hebrews 11:1-3,8-16; Luke 12:32-40","Psalm 50:1-8,23-24*; Isaiah 1:1,10-20; Hebrews 11:1-3,8-16; Luke 12:32-40",Psalm 115; Song of Solomon 8:5-7; 2 Peter 3:8-13,Psalm 108; Isaiah 11:10-12:6; 2 Corinthians 1:1-22
2025/08/11,"Monday, August 11, 2025",Week of 19th Sunday in Ordinary Time,,,,Psalm 30; Ezekiel 28:1–19; James 2:1–13,Psalm 28; 1 Samuel 14:24–46; Luke 23:13–25
2025/08/12,"Tuesday, August 12, 2025",Week of 19th Sunday in Ordinary Time,,,,Psalm 36; Ezekiel 33:1–20; James 2:14–end,Psalm 33; 1 Samuel 15:1–23; Luke 23:26–43
2025/08/13,"Wednesday, August 13, 2025",Week of 19th Sunday in Ordinary Time,,,,Psalm 34; Ezekiel 33:21–end; James 3,Psalm 119:33-56; 1 Samuel 16; Luke 23:44–56a
2025/08/14,"Thursday, August 14, 2025",Week of 19th Sunday in Ordinary Time,Eve of the Blessed Virgin Mary,,,Psalm 37; Ezekiel 34:1–16; James 4:1–12,Psalm 72; Proverbs 8:22-31; John 19:23-27
2025/08/15,"Friday, August 15, 2025",The Blessed Virgin Mary,,,,"Psalm 98,138,147:1-11; Isaiah 7:10-15; Luke 11:27-28",Psalm 132; Song of Solomon 2:1-7; Acts 1:6-14
