Rule class order,Rule set name,RuleType,row (within class),extra data,feast / season type,evening name,day name,Is Seasonal Time,ByDayOfWeek-RclYear,ByDayOfWeek-Weekday,ByDayOfMonth-Year,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning apoc.,Morning OT,Morning OT alt,Morning NT,Morning NT alt,Evening apoc.,Evening OT,Evening OT alt,Evening NT,Evening NT alt.,Evening gospel for communion,M Psalm main,M Psalm optional,M Psalm alt.,M omitted if canticle,E Psalm main,E Psalm optional,E Psalm alt.,E omitted if canticle,RclTrack1-NameOverride,RclTrack1-FullNameOverride,RclTrack1-Note,RclTrack1-Other,RclTrack1-Apoc,RclTrack1-OT,RclTrack1-OT-alt,RclTrack1-Psalm,RclTrack1-Psalm-alt,RclTrack1-Canticle,RclTrack1-ApocCanticle,RclTrack1-NT,RclTrack1-NT-alt,RclTrack1-Gospel,RclTrack1-Gospel-alt,RclTrack2-NameOverride,RclTrack2-FullNameOverride,RclTrack2-Note,RclTrack2-Other,RclTrack2-Apoc,RclTrack2-OT,RclTrack2-OT-alt,RclTrack2-Psalm,RclTrack2-Psalm-alt,RclTrack2-Canticle,RclTrack2-Apoc-Canticle,RclTrack2-NT,RclTrack2-NT-alt,RclTrack2-Gospel,RclTrack2-Gospel-alt,RclTrack3-NameOverride,RclTrack3-FullNameOverride,RclTrack3-Note,RclTrack3-Other,RclTrack3-Apoc,RclTrack3-OT,RclTrack3-OT-alt,RclTrack3-Psalm,RclTrack3-Psalm-alt,RclTrack3-Canticle,RclTrack3-Apoc-Canticle,RclTrack3-NT,RclTrack3-NT-alt,RclTrack3-Gospel,RclTrack2-Gospel-alt
1,BaseAdvent,ByDayOfWeek,33,,Advent,,Week of 4th Sunday of Advent,TRUE,,W,,,,Malachi 2:17–3:12,Isaiah 55,N/A,Matthew 19:16–end,2 Peter 2:4–end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,34,,Advent,,Week of 4th Sunday of Advent,TRUE,,Th,,,,Malachi 3:13–end; Malachi 4,Isaiah 56:1–8,N/A,Matthew 23:1–12,2 Peter 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,35,,Advent,,Week of 4th Sunday of Advent,TRUE,,F,,,,Nahum 1,Isaiah 63:1–6,N/A,Matthew 23:13–28,2 John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,36,,Advent,,Week of 4th Sunday of Advent,TRUE,,S,,,,Obadiah,Isaiah 58,N/A,Matthew 23:29–end,3 John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,37,,,,1st Sunday of Christmas,TRUE,A,Su,,,,,,,,,,Isaiah 35:1-6,,Galatians 3:23-29,,,Isaiah 49:7-13,,Philippians 2:1-11,,Luke 2:41-52,105:1-11,,,,132,,,,,,,,,Isaiah 63:7-9,,148*,,,,Hebrews 2:10-18,,Matthew 2:13-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,38,,,,1st Sunday of Christmas,TRUE,B,Su,,,,,,,,,,Isaiah 63:7-9,,Ephesians 3:5-12,,,Isaiah 35,,Colossians 1:9-20,Luke 2:41-52,,105:1-11,,,,132,,,,,,,,,Isaiah 61:10-62:3,,148*,,,,Galatians 4:4-7,,Luke 2:15-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,39,,,,1st Sunday of Christmas,TRUE,C,Su,,,,,,,,,,Isaiah 41:21 - 42:1,,1 John 1:1-7,,,Isaiah 61,,Galatians 3:27 - 4:7,,Luke 2:15-21,105:1-11,,,,132,,,,,,,,,"1 Samuel 2:18-20,26",,148*,,Canticle: Colossians 3:12-17,,Luke 2:41-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,40,,,,Week of 1st Sunday of Christmas,TRUE,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,41,,,,Week of 1st Sunday of Christmas,TRUE,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,42,,,,Week of 1st Sunday of Christmas,TRUE,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
